Year,Region,Region code,Country,Country Code,Indicator coverage and disaggregation,Data available last 5 years,Data available last 10 years,"First administrative level
","Second administrative level
",Coverage subscore,"Machine readable
",Non-proprietary,"Download options
","Metadata available
","Terms of use
",Openness subscore,Overall score,,Old OGDI Overall
2020,Caribbean,AMC,Haiti,HTI,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.0,,0
2020,Central Asia,ASC,Turkmenistan,TKM,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.0,,0
2020,Caribbean,AMC,Anguilla,AIA,15.0,5.0,10.0,0.0,-,7.69,0.0,20.0,10.0,15.0,0.0,9.10,8.4,,8.33
2020,Southern Europe,EUZ,San Marino,SMR,15.0,15.0,15.0,5.6,-,12.82,0.0,20.0,5.0,10.0,0.0,7.08,9.6,,8.5
2020,Southern Africa,AFZ,Eswatini,SWZ,25.0,0.0,0.0,0.0,0.0,5.10,0.0,40.0,20.0,20.0,0.0,16.00,10.6,,10.83
2020,Northern Africa,AFN,Libya,LBY,40.0,5.0,10.0,15.0,0.0,14.29,0.0,0.0,15.0,30.0,0.0,9.00,11.6,,11.5
2020,Middle Africa,AFM,Gabon,GAB,25.0,15.0,10.0,5.0,0.0,11.22,0.0,40.0,20.0,20.0,0.0,16.00,13.6,,13.5
2020,Eastern Asia,ASF,China,CHN,25.0,25.0,25.0,0.0,0.0,15.31,0.0,50.0,20.0,15.0,0.0,17.00,16.2,,16
2020,Caribbean,AMC,St. Kitts and Nevis,KNA,25.0,5.0,0.0,11.1,-,10.26,30.0,20.0,15.0,15.0,30.0,22.25,16.9,,15
2020,Middle Africa,AFM,Equatorial Guinea,GNQ,35.0,20.0,5.0,5.0,0.0,13.27,0.0,60.0,20.0,30.0,0.0,22.00,17.7,,17.5
2020,Eastern Africa,AFE,Mozambique,MOZ,25.0,25.0,25.0,15.0,0.0,18.37,10.0,40.0,5.0,30.0,0.0,17.00,17.7,,17.5
2020,Western Africa,AFW,Guinea-Bissau,GNB,35.0,5.0,10.0,15.0,0.0,13.27,0.0,60.0,30.0,30.0,0.0,24.00,18.7,,18.83
2020,Eastern Africa,AFE,South Sudan,SSD,20.0,10.0,5.0,5.0,0.0,8.16,40.0,40.0,40.0,20.0,20.0,32.00,20.2,,20.56
2020,Pacific Islands,OPI,Papua New Guinea,PNG,50.0,0.0,0.0,10.0,0.0,12.24,0.0,70.0,35.0,35.0,0.0,28.00,20.2,,20.33
2020,Western Asia,ASW,Syrian Arab Republic,SYR,35.0,30.0,25.0,15.0,0.0,21.43,20.0,40.0,15.0,30.0,0.0,21.00,21.2,,21.39
2020,Northern Africa,AFN,Algeria,DZA,40.0,35.0,35.0,10.0,0.0,24.49,5.0,60.0,10.0,30.0,0.0,21.00,22.7,,22.5
2020,Eastern Africa,AFE,Djibouti,DJI,45.0,25.0,15.0,15.0,0.0,20.41,25.0,60.0,35.0,30.0,5.0,31.00,25.8,,25.94
2020,Central America,AMM,Nicaragua,NIC,45.0,40.0,35.0,25.0,11.1,31.63,5.0,60.0,10.0,30.0,0.0,21.00,26.3,,26.39
2020,Western Africa,AFW,Mauritania,MRT,55.0,25.0,20.0,20.0,0.0,24.49,10.0,70.0,20.0,30.0,10.0,28.00,26.3,,26.33
2020,Southern Europe,EUZ,Andorra,ADO,30.0,30.0,30.0,11.1,-,25.64,40.0,40.0,35.0,20.0,0.0,27.22,26.4,,26.11
2020,Pacific Islands,OPI,Palau,PLW,50.0,30.0,30.0,22.2,-,33.33,10.0,60.0,15.0,30.0,0.0,23.26,27.5,,24.5
2020,Middle Africa,AFM,Chad,TCD,60.0,5.0,5.0,35.0,0.0,21.43,10.0,80.0,35.0,45.0,0.0,34.00,27.8,,27.94
2020,Western Europe,EUW,Belgium,BEL,40.0,40.0,35.0,25.0,16.7,31.63,45.0,35.0,25.0,25.0,0.0,26.00,28.8,,28.5
2020,Pacific Islands,OPI,"Micronesia, Fed. Sts.",FSM,45.0,5.0,0.0,38.9,-,21.79,55.0,60.0,30.0,30.0,0.0,35.39,29.2,,28.89
2020,Pacific Islands,OPI,Fiji,FJI,55.0,35.0,30.0,15.0,5.6,28.57,0.0,90.0,25.0,40.0,0.0,31.00,29.8,,29.78
2020,Caribbean,AMC,Trinidad and Tobago,TTO,65.0,15.0,10.0,20.0,0.0,22.45,50.0,70.0,40.0,35.0,0.0,39.00,30.8,,30.83
2020,Western Africa,AFW,Liberia,LBR,60.0,35.0,15.0,20.0,11.1,28.57,10.0,75.0,40.0,40.0,0.0,33.00,30.8,,30.89
2020,Caribbean,AMC,Antigua and Barbuda,ATG,45.0,20.0,25.0,11.1,-,25.64,25.0,50.0,20.0,30.0,50.0,35.39,30.9,,27.5
2020,Eastern Africa,AFE,Ethiopia,ETH,55.0,45.0,25.0,30.0,5.6,32.65,0.0,80.0,30.0,40.0,0.0,30.00,31.3,,31.44
2020,Caribbean,AMC,The Bahamas,BHS,60.0,25.0,25.0,5.0,0.0,23.47,0.0,90.0,45.0,60.0,0.0,39.00,31.3,,31
2020,Caribbean,AMC,Dominica,DMA,40.0,10.0,10.0,0.0,-,15.38,40.0,60.0,30.0,30.0,60.0,44.49,31.5,,28
2020,Eastern Africa,AFE,Madagascar,MDG,50.0,25.0,10.0,35.0,0.0,24.49,15.0,80.0,45.0,40.0,15.0,39.00,31.8,,31.5
2020,Southern Europe,EUZ,Bosnia and Herzegovina,BIH,65.0,40.0,20.0,35.0,0.0,32.65,0.0,70.0,25.0,60.0,0.0,31.00,31.8,,31.5
